n_estimators,max_depth,min_samples_split,min_samples_leaf,RMSE,MAE,R2 Score
100,40.0,7,4,22.137275950329155,9.839854750731316,0.8496617099890706
100,40.0,10,1,22.133181334092455,9.838386945973754,0.8497173194212855
100,40.0,10,2,22.13478731880651,9.838671393898535,0.8496955095928294
100,40.0,10,4,22.137282953009784,9.839856925057827,0.8496616148760856
100,50.0,2,1,22.132351985716774,9.837740035422732,0.8497285816397646
100,50.0,2,2,22.13392913294178,9.8382802573169,0.8497071642508752
100,50.0,2,4,22.137275950329155,9.839854750731316,0.8496617099890706
100,50.0,7,1,22.13301775052617,9.838292234645621,0.84971954085395
100,50.0,7,2,22.134606421313755,9.838618220167515,0.8496979663224983
100,50.0,7,4,22.137275950329155,9.839854750731316,0.8496617099890706
100,50.0,10,1,22.133181334092455,9.838386945973754,0.8497173194212855
100,50.0,10,2,22.13478731880651,9.838671393898535,0.8496955095928294
100,50.0,10,4,22.137282953009784,9.839856925057827,0.8496616148760856
150,,2,1,22.13233080694402,9.836089046078232,0.8497288692334827
150,,2,2,22.133932078381797,9.836591735916931,0.8497071242508771
150,,2,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,,7,1,22.132991486818913,9.836631646918091,0.8497198975084006
150,,7,2,22.13459362872889,9.836935518407627,0.8496981400550625
150,,7,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,,10,1,22.13318818718306,9.836743285565122,0.8497172263573043
150,,10,2,22.13481890128153,9.83701908609166,0.8496950806760178
150,,10,4,22.137293807787998,9.83823591623972,0.8496614674424343
150,20.0,2,1,22.132330806975286,9.836089060926904,0.849728869233058
150,20.0,2,2,22.133932078381797,9.836591735916931,0.8497071242508771
150,20.0,2,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,20.0,7,1,22.13299343236579,9.836634558487534,0.8497198710883844
150,20.0,7,2,22.134593628902007,9.836935533256298,0.8496981400527114
150,20.0,7,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,20.0,10,1,22.13318818718306,9.836743285565126,0.8497172263573043
150,20.0,10,2,22.13481890128153,9.83701908609166,0.8496950806760178
150,20.0,10,4,22.137293807787998,9.838235916239721,0.8496614674424343
150,40.0,2,1,22.13233080694402,9.836089046078232,0.8497288692334827
150,40.0,2,2,22.133932078381797,9.836591735916931,0.8497071242508771
150,40.0,2,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,40.0,7,1,22.132991486818913,9.836631646918091,0.8497198975084006
150,40.0,7,2,22.13459362872889,9.836935518407627,0.8496981400550625
150,40.0,7,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,40.0,10,1,22.13318818718306,9.836743285565122,0.8497172263573043
150,40.0,10,2,22.13481890128153,9.83701908609166,0.8496950806760178
150,40.0,10,4,22.137293807787998,9.83823591623972,0.8496614674424343
150,50.0,2,1,22.13233080694402,9.836089046078232,0.8497288692334827
150,50.0,2,2,22.133932078381797,9.836591735916931,0.8497071242508771
150,50.0,2,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,50.0,7,1,22.132991486818913,9.836631646918091,0.8497198975084006
150,50.0,7,2,22.13459362872889,9.836935518407627,0.8496981400550625
150,50.0,7,4,22.137286001545036,9.838229653585596,0.8496615734697487
150,50.0,10,1,22.13318818718306,9.836743285565122,0.8497172263573043
150,50.0,10,2,22.13481890128153,9.83701908609166,0.8496950806760178
150,50.0,10,4,22.137293807787998,9.83823591623972,0.8496614674424343
